OID_,MAX_alt,MIN_alt,MEAN_heading,MAX_gs,ident,COUNT_,MEAN_alt,END_DATETIME,TRACK_DURATION,START_DATETIME,ANY_altChange,MIN_gs,F_id,PlatformType,Speed,DateTime,DateTimeSim,Distance_1_sec,BEARING,POINT_X,POINT_Y,POINT_Z,PlatformName,Speed_km_hr
1,34000,34000,241.8,355,AAL1072,5,34000,2/2/2017 19:13,169000,2/2/2017 19:10,,350,AVoPISUYEp_4vUo2LSUm,Aircraft,800,,4/7/2021 11:21,357.6311111,237.9928278,-77.76712431,39.42484472,nan,"u""""Aircraft""""",1287.472
2,34000,34000,241.8,355,AAL1072,5,34000,2/2/2017 19:13,169000,2/2/2017 19:10,,350,AVoPISUYEp_4vUo2LSUm,Aircraft,800,,4/7/2021 11:21,357.6311111,237.9940002,-77.76984861,39.42352942,nan,"u""""Aircraft""""",1287.472
3,34000,34000,241.8,355,AAL1072,5,34000,2/2/2017 19:13,169000,2/2/2017 19:10,,350,AVoPISUYEp_4vUo2LSUm,Aircraft,800,,4/7/2021 11:21,357.6311111,237.993968,-77.77257292,39.42221409,nan,"u""""Aircraft""""",1287.472
4,34000,34000,241.8,355,AAL1072,5,34000,2/2/2017 19:13,169000,2/2/2017 19:10,,350,AVoPISUYEp_4vUo2LSUm,Aircraft,800,,4/7/2021 11:21,357.6311111,237.9923796,-77.77529723,39.42089874,nan,"u""""Aircraft""""",1287.472
5,34000,34000,241.8,355,AAL1072,5,34000,2/2/2017 19:13,169000,2/2/2017 19:10,,350,AVoPISUYEp_4vUo2LSUm,Aircraft,800,,4/7/2021 11:21,357.6311111,237.993964,-77.77802153,39.41958336,nan,"u""""Aircraft""""",1287.472
6,34000,34000,241.8,355,AAL1072,5,34000,2/2/2017 19:13,169000,2/2/2017 19:10,,350,AVoPISUYEp_4vUo2LSUm,Aircraft,800,,4/7/2021 11:21,357.6311111,237.9950642,-77.78074584,39.41826796,nan,"u""""Aircraft""""",1287.472
7,34000,34000,241.8,355,AAL1072,5,34000,2/2/2017 19:13,169000,2/2/2017 19:10,,350,AVoPISUYEp_4vUo2LSUm,Aircraft,800,,4/7/2021 11:21,357.6311111,237.9940002,-77.78347015,39.41695253,nan,"u""""Aircraft""""",1287.472
8,34000,34000,241.8,355,AAL1072,5,34000,2/2/2017 19:13,169000,2/2/2017 19:10,,350,AVoPISUYEp_4vUo2LSUm,Aircraft,800,,4/7/2021 11:21,357.6311111,237.9939962,-77.78619445,39.41563708,nan,"u""""Aircraft""""",1287.472
9,34000,34000,241.8,355,AAL1072,5,34000,2/2/2017 19:13,169000,2/2/2017 19:10,C,350,AVoPISUYEp_4vUo2LSUm,Aircraft,800,,4/7/2021 11:21,357.6311111,237.9939841,-77.78891876,39.4143216,nan,"u""""Aircraft""""",1287.472
10,34000,34000,241.8,355,AAL1072,5,34000,2/2/2017 19:13,169000,2/2/2017 19:10,C,350,AVoPISUYEp_4vUo2LSUm,Aircraft,800,,4/7/2021 11:21,357.6311111,237.9939801,-77.79164307,39.4130061,nan,"u""""Aircraft""""",1287.472
11,34000,34000,241.8,355,AAL1072,5,34000,2/2/2017 19:13,169000,2/2/2017 19:10,,350,AVoPISUYEp_4vUo2LSUm,Aircraft,800,,4/7/2021 11:21,357.6311111,237.9939881,-77.79436738,39.41169057,nan,"u""""Aircraft""""",1287.472
12,34000,34000,241.8,355,AAL1072,5,34000,2/2/2017 19:13,169000,2/2/2017 19:10,,350,AVoPISUYEp_4vUo2LSUm,Aircraft,800,,4/7/2021 11:21,357.6311111,237.9939962,-77.79709168,39.41037502,nan,"u""""Aircraft""""",1287.472
13,34000,34000,241.8,355,AAL1072,5,34000,2/2/2017 19:13,169000,2/2/2017 19:10,,350,AVoPISUYEp_4vUo2LSUm,Aircraft,800,,4/7/2021 11:21,357.6311111,237.9940043,-77.79981599,39.40905944,nan,"u""""Aircraft""""",1287.472
14,34000,34000,241.8,355,AAL1072,5,34000,2/2/2017 19:13,169000,2/2/2017 19:10,,350,AVoPISUYEp_4vUo2LSUm,Aircraft,800,,4/7/2021 11:21,357.6311111,237.9939801,-77.8025403,39.40774384,nan,"u""""Aircraft""""",1287.472
15,34000,34000,241.8,355,AAL1072,5,34000,2/2/2017 19:13,169000,2/2/2017 19:10,,350,AVoPISUYEp_4vUo2LSUm,Aircraft,800,,4/7/2021 11:21,357.6311111,237.9939761,-77.8052646,39.40642821,nan,"u""""Aircraft""""",1287.472
16,34000,34000,241.8,355,AAL1072,5,34000,2/2/2017 19:13,169000,2/2/2017 19:10,,350,AVoPISUYEp_4vUo2LSUm,Aircraft,800,,4/7/2021 11:21,357.6311111,237.993964,-77.80798891,39.40511256,nan,"u""""Aircraft""""",1287.472
17,34000,34000,241.8,355,AAL1072,5,34000,2/2/2017 19:13,169000,2/2/2017 19:10,,350,AVoPISUYEp_4vUo2LSUm,Aircraft,800,,4/7/2021 11:21,357.6311111,237.9939599,-77.81071322,39.40379689,nan,"u""""Aircraft""""",1287.472
18,34000,34000,241.8,355,AAL1072,5,34000,2/2/2017 19:13,169000,2/2/2017 19:10,,350,AVoPISUYEp_4vUo2LSUm,Aircraft,800,,4/7/2021 11:21,357.6311111,237.9939479,-77.81343752,39.40248119,nan,"u""""Aircraft""""",1287.472
19,34000,34000,241.8,355,AAL1072,5,34000,2/2/2017 19:13,169000,2/2/2017 19:10,,350,AVoPISUYEp_4vUo2LSUm,Aircraft,800,,4/7/2021 11:21,357.6311111,237.993964,-77.81616183,39.40116546,nan,"u""""Aircraft""""",1287.472
20,34000,34000,241.8,355,AAL1072,5,34000,2/2/2017 19:13,169000,2/2/2017 19:10,,350,AVoPISUYEp_4vUo2LSUm,Aircraft,800,,4/7/2021 11:21,357.6311111,237.9939519,-77.81888614,39.39984971,nan,"u""""Aircraft""""",1287.472
21,34000,34000,241.8,355,AAL1072,5,34000,2/2/2017 19:13,169000,2/2/2017 19:10,,350,AVoPISUYEp_4vUo2LSUm,Aircraft,800,,4/7/2021 11:21,357.6311111,238.8680733,-77.82161044,39.39853393,nan,"u""""Aircraft""""",1287.472
22,34000,34000,241.8,355,AAL1072,5,34000,2/2/2017 19:13,169000,2/2/2017 19:10,,350,AVoPISUYEp_4vUo2LSUm,Aircraft,800,,4/7/2021 11:21,357.6311111,238.8680736,-77.82435994,39.39724982,nan,"u""""Aircraft""""",1287.472
23,34000,34000,241.8,355,AAL1072,5,34000,2/2/2017 19:13,169000,2/2/2017 19:10,,350,AVoPISUYEp_4vUo2LSUm,Aircraft,800,,4/7/2021 11:21,357.6311111,238.8680869,-77.82710991,39.39596626,nan,"u""""Aircraft""""",1287.472
