OID_,ident,DateTimeSim,POINT_X,POINT_Y
1,AAL1072,4/7/2021 11:21:07,-77.76712431,39.42484472
111,AAL1227,4/7/2021 11:21:07,-77.13756723,38.46361309
255,AAL1435,4/7/2021 11:21:07,-77.01029165,38.51765565
675,AAL1202,4/7/2021 11:21:07,-77.04353011,38.87319028
1030,AAL1678,4/7/2021 11:21:07,-76.91304282,39.52953749
1590,AAL1710,4/7/2021 11:21:07,-77.15243898,38.95162619
1949,AAL1936,4/7/2021 11:21:07,-77.31301703,38.93895534
2143,AAL2066,4/7/2021 11:21:07,-76.23474861,38.4670933
2226,AAL1970,4/7/2021 11:21:07,-76.95094655,38.52967285
2541,AAL2129,4/7/2021 11:21:07,-76.02849133,38.75674189
2960,AAL1992,4/7/2021 11:21:07,-76.30496572,39.51563124
3539,AAL2019,4/7/2021 11:21:07,-77.56286232,38.65428724
3622,AAL2056,4/7/2021 11:21:07,-76.33745886,39.49396444
4181,AAL2072,4/7/2021 11:21:07,-76.90932727,38.55081622
4454,AAL2354,4/7/2021 11:21:07,-77.51253529,38.77523541
4512,AAL2262,4/7/2021 11:21:07,-77.48070515,39.56234079
4732,AAL324,4/7/2021 11:21:07,-77.04387451,38.87470327
5087,AAL327,4/7/2021 11:21:07,-78.09893811,39.09761117
5524,AAL2149,4/7/2021 11:21:07,-77.03549696,38.86851668
5932,AAL2248,4/7/2021 11:21:07,-76.68654195,39.18338215
6391,AAY1622,4/7/2021 11:21:07,-76.8836731,38.5575933
6640,ASH6006,4/7/2021 11:21:07,-78.00444449,38.67673468
7076,ASH6154,4/7/2021 11:21:07,-78.05457909,39.12219076
7304,AMX409,4/7/2021 11:21:07,-76.23706497,39.56095241
7918,ASH6263,4/7/2021 11:21:07,-78.11111621,38.87768674
8191,ASH6301,4/7/2021 11:21:07,-76.77363781,39.57250491
8781,ASQ4103,4/7/2021 11:21:07,-76.32627857,38.6041596
8981,ASQ4242,4/7/2021 11:21:07,-76.43513856,39.43127916
