ident,DateTimeSim,POINT_X,POINT_Y,bearing
AAL1072,4/7/2021 11:21,-77.76712431,39.42484472,162
AAL1202,4/7/2021 11:21,-77.04353011,38.87319028,123.8474156
AAL1227,4/7/2021 11:21,-77.13756723,38.46361309,106.0348561
AAL1435,4/7/2021 11:21,-77.01029165,38.51765565,176.8469811
AAL1678,4/7/2021 11:21,-76.91304282,39.52953749,48.56931439
AAL1710,4/7/2021 11:21,-77.15243898,38.95162619,26.02594135
AAL1936,4/7/2021 11:21,-77.31301703,38.93895534,-33.8257512
AAL1970,4/7/2021 11:21,-76.95094655,38.52967285,74.51230784
AAL1992,4/7/2021 11:21,-76.30496572,39.51563124,-13.05948321
AAL2019,4/7/2021 11:21,-77.56286232,38.65428724,13.47253106
AAL2056,4/7/2021 11:21,-76.33745886,39.49396444,-16.75209238
AAL2066,4/7/2021 11:21,-76.23474861,38.4670933,62.26292779
AAL2072,4/7/2021 11:21,-76.90932727,38.55081622,-79.57820257
AAL2129,4/7/2021 11:21,-76.02849133,38.75674189,141.6878191
AAL2149,4/7/2021 11:21,-77.03549696,38.86851668,-0.701926366
AAL2248,4/7/2021 11:21,-76.68654195,39.18338215,-53.05872289
AAL2262,4/7/2021 11:21,-77.48070515,39.56234079,-13.73394966
AAL2354,4/7/2021 11:21,-77.51253529,38.77523541,148.0980443
AAL324,4/7/2021 11:21,-77.04387451,38.87470327,90.86349969
AAL327,4/7/2021 11:21,-78.09893811,39.09761117,-13.89451153
AAY1622,4/7/2021 11:21,-76.8836731,38.5575933,158.0552363
AMX409,4/7/2021 11:21,-76.23706497,39.56095241,1.066662224
ASH6006,4/7/2021 11:21,-78.00444449,38.67673468,-43.8789147
ASH6154,4/7/2021 11:21,-78.05457909,39.12219076,-18.71426136
ASH6263,4/7/2021 11:21,-78.11111621,38.87768674,-77.24594796
ASH6301,4/7/2021 11:21,-76.77363781,39.57250491,-18.65988324
ASQ4103,4/7/2021 11:21,-76.32627857,38.6041596,44.86535754
ASQ4242,4/7/2021 11:21,-76.43513856,39.43127916,9.957202426
ASQ4255,4/7/2021 11:21,-76.62923878,38.80518945,82.86881689
ASQ4457,4/7/2021 11:21,-77.55967963,39.5239857,71.93673219
ASQ5132,4/7/2021 11:21,-76.90255967,39.53461269,-73.83669429
ASQ5146,4/7/2021 11:21,-76.58879524,38.56563192,53.15969993
ASQ5209,4/7/2021 11:21,-76.40435298,38.50535154,-148.4233785
ASQ5477,4/7/2021 11:21,-77.54135952,39.53232839,28.07290469
AWI3848,4/7/2021 11:21,-76.18728777,38.51564713,69.80465828
AWI3851,4/7/2021 11:21,-77.0287974,38.75278118,-53.92046117
AWI3903,4/7/2021 11:21,-77.27084002,38.99794842,-18.54918747
AWI3982,4/7/2021 11:21,-77.36827061,38.88491251,159.7508164
AWI4057,4/7/2021 11:21,-77.05096522,38.86905579,32.25936728
AWI4121,4/7/2021 11:21,-77.0519734,38.86864384,-14.66483514
AWI876A,4/7/2021 11:21,-77.05218561,38.8685033,61.74757024
DAL1437,4/7/2021 11:21,-77.9834574,39.45137535,42.27360002
DAL1467,4/7/2021 11:21,-76.24645386,39.13490737,117.963803
DAL1469,4/7/2021 11:21,-78.07138707,39.09089355,-84.21410413
DAL151,4/7/2021 11:21,-77.0519734,38.86864384,-7.671082987
DAL1561,4/7/2021 11:21,-76.77039286,39.57336294,-18.88799598
DAL1946,4/7/2021 11:21,-76.24477745,38.45610295,108.7712132
DAL2039,4/7/2021 11:21,-76.93187965,38.52696045,-84.25850943
AAL1072,4/7/2021 11:21,-77.76984861,39.42352942,162.4217572
AAL1202,4/7/2021 11:21,-77.04537021,38.87524051,-19.03405162
AAL1227,4/7/2021 11:21,-77.13630446,38.4659261,21.45876035
AAL1435,4/7/2021 11:21,-77.00808331,38.51948125,39.50130856
AAL1678,4/7/2021 11:21,-76.91552564,39.52796494,158.0638315
AAL1710,4/7/2021 11:21,-77.15487796,38.95325234,-25.02250438
AAL1936,4/7/2021 11:21,-77.31464407,38.93680061,-166.1282865
AAL1970,4/7/2021 11:21,-76.9488331,38.53156564,36.90976063
AAL1992,4/7/2021 11:21,-76.30743144,39.51404245,159.4458191
AAL2019,4/7/2021 11:21,-77.56461464,38.65218441,-154.2284184
AAL2056,4/7/2021 11:21,-76.33991772,39.49236883,161.2293597
AAL2066,4/7/2021 11:21,-76.23285722,38.46912654,33.72402002
AAL2072,4/7/2021 11:21,-76.90726454,38.55274239,35.12501458
AAL2129,4/7/2021 11:21,-76.03170266,38.75681378,-87.30885588
AAL2149,4/7/2021 11:21,-77.03766392,38.87036331,-24.52578676
AAL2248,4/7/2021 11:21,-76.6897539,39.18343429,-79.26651184
AAL2262,4/7/2021 11:21,-77.4834403,39.56104155,148.876756
AAL2354,4/7/2021 11:21,-77.51048058,38.77716077,26.77543359
AAL324,4/7/2021 11:21,-77.04570903,38.87675649,-18.89074811
AAL327,4/7/2021 11:21,-78.09588622,39.09683233,145.960882
AAY1622,4/7/2021 11:21,-76.8817862,38.55962654,31.16788583
AMX409,4/7/2021 11:21,-76.23951994,39.55935479,156.3290386
ASH6006,4/7/2021 11:21,-78.00147898,38.67769935,59.71527989
ASH6154,4/7/2021 11:21,-78.05193817,39.12077148,164.5397465
ASH6263,4/7/2021 11:21,-78.10806241,38.87846347,56.25404727
ASH6301,4/7/2021 11:21,-76.77652562,39.57141979,141.7108873
ASQ4103,4/7/2021 11:21,-76.32477714,38.60637913,22.6132876
ASQ4242,4/7/2021 11:21,-76.43694712,39.42922827,172.0369066
ASQ4255,4/7/2021 11:21,-76.62708756,38.80704886,27.30845788
ASQ4457,4/7/2021 11:21,-77.56241927,39.52269138,152.120932
ASQ5132,4/7/2021 11:21,-76.90511934,39.53311535,156.033652
ASQ5146,4/7/2021 11:21,-76.58648048,38.56737379,40.63024737
ASQ5209,4/7/2021 11:21,-76.40203597,38.50709304,42.57035614
ASQ5477,4/7/2021 11:21,-77.54410905,39.53104676,151.0364631
AWI3848,4/7/2021 11:21,-76.18540555,38.51768421,32.25393319
AWI3851,4/7/2021 11:21,-77.0289848,38.75528227,-2.112102659
AWI3903,4/7/2021 11:21,-77.27335004,38.99950681,-23.26818404
AWI3982,4/7/2021 11:21,-77.37015123,38.88288496,-160.7003092
AWI4057,4/7/2021 11:21,-77.05193044,38.87144151,-8.920888384
AWI4121,4/7/2021 11:21,-77.05394681,38.87061762,-21.23387325
AWI876A,4/7/2021 11:21,-77.05437123,38.87033656,-24.87146173
DAL1437,4/7/2021 11:21,-77.9802448,39.45136069,-91.53900311
DAL1467,4/7/2021 11:21,-76.24429771,39.13675469,8.806771953
DAL1469,4/7/2021 11:21,-78.06833414,39.0901171,144.859744
DAL151,4/7/2021 11:21,-77.05394681,38.87061762,-21.23387325
DAL1561,4/7/2021 11:21,-76.77328573,39.57228587,141.3770846
DAL1946,4/7/2021 11:21,-76.2428849,38.45813583,34.02446154
DAL2039,4/7/2021 11:21,-76.9298693,38.52892084,34.6779938
AAL1072,4/7/2021 11:21,-77.77257292,39.42221409,162.5622621
AAL1202,4/7/2021 11:21,-77.04721032,38.87729067,-18.94774119
AAL1227,4/7/2021 11:21,-77.13504169,38.46823904,21.41581058
AAL1435,4/7/2021 11:21,-77.00587496,38.5213068,39.44705922
AAL1678,4/7/2021 11:21,-76.91800846,39.52639236,158.1825727
AAL1710,4/7/2021 11:21,-77.15731694,38.95487845,-24.9139935
AAL1936,4/7/2021 11:21,-77.3162711,38.93464582,-166.0457367
AAL1970,4/7/2021 11:21,-76.94671965,38.53345839,36.85303259
AAL1992,4/7/2021 11:21,-76.30989716,39.51245362,159.5664957
AAL2019,4/7/2021 11:21,-77.56636695,38.65008153,-154.1627578
AAL2056,4/7/2021 11:21,-76.34237659,39.4907732,161.3527054
AAL2066,4/7/2021 11:21,-76.23096583,38.47115972,33.6725497
AAL2072,4/7/2021 11:21,-76.90520182,38.5546685,35.06608524
AAL2129,4/7/2021 11:21,-76.034914,38.75688567,-87.30852779
AAL2149,4/7/2021 11:21,-77.03983088,38.8722099,-24.43155607
AAL2248,4/7/2021 11:21,-76.69296585,39.18348644,-79.25825921
AAL2262,4/7/2021 11:21,-77.48617545,39.55974229,148.9871411
AAL2354,4/7/2021 11:21,-77.50842586,38.77908607,26.69355458
AAL324,4/7/2021 11:21,-77.04754354,38.87880964,-18.80430205
AAL327,4/7/2021 11:21,-78.09283434,39.09605348,145.842969
AAY1622,4/7/2021 11:21,-76.8798993,38.56165972,31.1085652
AMX409,4/7/2021 11:21,-76.24197492,39.55775713,156.4425732
ASH6006,4/7/2021 11:21,-77.99851347,38.67866401,59.67975276
ASH6154,4/7/2021 11:21,-78.04929726,39.11935218,164.4010177
ASH6263,4/7/2021 11:21,-78.10500862,38.87924019,56.2045115
ASH6301,4/7/2021 11:21,-76.77941344,39.57033467,141.8080707
ASQ4103,4/7/2021 11:21,-76.32327571,38.60859859,22.55612184
ASQ4242,4/7/2021 11:21,-76.43875569,39.42717731,172.1374954
ASQ4255,4/7/2021 11:21,-76.62493633,38.80890822,27.22208824
ASQ4457,4/7/2021 11:21,-77.5651589,39.52139704,152.2401232
ASQ5132,4/7/2021 11:21,-76.90767901,39.53161798,156.1523282
ASQ5146,4/7/2021 11:21,-76.58416573,38.56911563,40.57227579
ASQ5209,4/7/2021 11:21,-76.39971895,38.50883449,42.51920766
ASQ5477,4/7/2021 11:21,-77.54685857,39.52976511,151.1534217
AWI3848,4/7/2021 11:21,-76.18352332,38.51972122,32.19858124
AWI3851,4/7/2021 11:21,-77.0291722,38.75778328,-2.102829734
AWI3903,4/7/2021 11:21,-77.27586005,39.00106516,-23.15166417
AWI3982,4/7/2021 11:21,-77.37203184,38.88085736,-160.6119982
AWI4057,4/7/2021 11:21,-77.05289566,38.87382714,-8.871449405
AWI4121,4/7/2021 11:21,-77.05592021,38.87259135,-21.14372186
AWI876A,4/7/2021 11:21,-77.05655684,38.87216977,-24.77697416
DAL1437,4/7/2021 11:21,-77.9770322,39.45134604,-91.5381313
DAL1467,4/7/2021 11:21,-76.24214157,39.13860197,8.687331264
DAL1469,4/7/2021 11:21,-78.06528122,39.08934064,144.7450261
DAL151,4/7/2021 11:21,-77.05592021,38.87259135,-21.14372186
DAL1561,4/7/2021 11:21,-76.77617859,39.57120878,141.4742247
DAL1946,4/7/2021 11:21,-76.24099235,38.46016867,33.97365736
