Name,Location,Keyword
Werehyena,Africa,hyena
Werehyena,Africa,human
Werehyena,Africa,shapeshifter
Mami Wata,Africa,supernaturally
Mami Wata,Africa,beautiful
Mami Wata,Africa,water
Mami Wata,Africa,spirits
Rompo,Africa,skeletal
Rompo,India,creature
Rompo,Africa,elements
Rompo,Africa,rabbit
Rompo,Africa,badger
Rompo,Africa,bear
Abada,Africa,big
Abada,Africa,dog
Abada,Africa,reported
Abada,Africa,live
Abada,Africa,lands
Abada,Africa,africcongo
Bolla,Albania,dragon
Kulshedra,Albania,drought
Kulshedra,Albania,causing
Kulshedra,Albania,dragon
Xhindi,Albania,elves
Katallan,Albania,meating
Katallan,Albania,giant
Bardha,Albania,mountain
Bardha,Albania,spirit
Drangue,Albania,human
Drangue,Albania,winged
Drangue,Albania,warriors
Lugat,Albania,vampire
Shtriga,Albania,vampire
Shtriga,Albania,witch
Shtriga,Albania,feeds
Shtriga,Albania,children
Baloz,Albania,seamonster
Djall,Albania,devil
Kukudhi,Albania,female
Kukudhi,Albania,demon
Kukudhi,Albania,sickness
Ljubi,Albania,demoness
Stihi,Albania,demonic
Stihi,Albania,dragon
Stihi,Albania,guards
Stihi,Albania,treasure
Zana e malit,Albania,mountain
Zana e malit,Albania,fairy
Zana e malit,Albania,bless
Zana e malit,Albania,warriors
Shadow People,United States,malevolent
Shadow People,United States,ghost
Jackalope,United States,rabbit
Jackalope,United States,antlers
Squonk,United States,ugly
Squonk,United States,lonely
Squonk,United States,creature
Squonk,United States,pool
Squonk,United States,tears
Jersey Devil,United States,demonic dragon
Jersey Devil,United States,flying
Jersey Devil,United States,demon
Jersey Devil,United States,jersey
Bigfoot,United States,forest
Bigfoot,United States,dwelling
Bigfoot,United States,hominid cryptid
Gyascutus,United States,four
Gyascutus,United States,legged
Gyascutus,United States,herbivore
Mothman,United States,large
Mothman,United States,grey
Mothman,United States,winged
Mothman,United States,humanoid
Mothman,United States,glowing
Mothman,United States,red
Mothman,United States,eyes
Raystown Ray,United States,possible
Raystown Ray,United States,plesiosaur
Raystown Ray,United States,serpent
Boo Hag,United States,vampire
Boo Hag,United States,creature
Boo Hag,United States,steals
Boo Hag,United States,energy
Boo Hag,United States,sleeping
Boo Hag,United States,victims
Beast of Bray Road,United States,werewolf
Pope Lick Monster,United States,murderous
Pope Lick Monster,United States,creature
Pope Lick Monster,United States,man
Pope Lick Monster,United States,sheep
Pope Lick Monster,United States,goat
Bunny Man,United States,spirit
Bunny Man,United States,maniac
Bunny Man,United States,bunny
Bunny Man,United States,costume
Bunny Man,United States,ax
Skin-walker,United States,animal
Skin-walker,United States,human shapeshifter
Sisiutl,United States,two
Sisiutl,United States,headed
Sisiutl,United States,seserpent
Hieracosphinx,Egypt,falcon
Hieracosphinx,Egypt,headed
Hieracosphinx,Egypt,sphinx
Criosphinx,Egypt,ram
Criosphinx,Egypt,headed
Criosphinx,Egypt,sphinx
Serpopard,Egypt,serpent
Serpopard,Egypt,leopard
Serpopard,Egypt,hybrid
The Swallower,Egypt,crocodile
The Swallower,Egypt,leopard
The Swallower,Egypt,hippopotamus
The Swallower,Egypt,hybrid
Axex,Egypt,falcon
Axex,Egypt,lion
Axex,Egypt,hybrid
Ammit,Egypt,female
Ammit,Egypt,demon
Ammit,Egypt,lion
Ammit,Egypt,hippopotamus
Ammit,Egypt,crocodile
Anubis,Egypt,god
Anubis,Egypt,underworld
Androsphinx,Egypt,human
Androsphinx,Egypt,headed
Androsphinx,Egypt,sphinx
Kishi,Angola,malevolent
Kishi,Angola,two
Kishi,Angola,faced
Kishi,Angola,seducer
Ghoul,Saudi Arabia,cannibalistic
Ghoul,Saudi Arabia,shapeshifting
Ghoul,Saudi Arabia,desert
Ghoul,Saudi Arabia,genie
Ghoul,Saudi Arabia,classified
Ghoul,Saudi Arabia,undead
Ifrit,Saudi Arabia,fire
Ifrit,Saudi Arabia,genie
Bahamut,Saudi Arabia,giant
Bahamut,Saudi Arabia,fish
Nasnas,Saudi Arabia,half
Nasnas,Saudi Arabia,human
Nasnas,Saudi Arabia,demon
Nasnas,Saudi Arabia,creature
Nasnas,Saudi Arabia,half
Nasnas,Saudi Arabia,body
Anqa,Saudi Arabia,legendary
Anqa,Saudi Arabia,huge
Anqa,Saudi Arabia,satanic
Anqa,Saudi Arabia,eagle
Anqa,Saudi Arabia,human
Anqa,Saudi Arabia,face
Anqa,Saudi Arabia,sometimes
Anqa,Saudi Arabia,resurrect
Marid,Saudi Arabia,jinn
Marid,Saudi Arabia,associated
Marid,Saudi Arabia,fortune
Marid,Saudi Arabia,tellers
Piatek,Armenia,large
Piatek,Armenia,land
Piatek,Armenia,animal
Al,Armenia,spirit
Al,Armenia,steals
Al,Armenia,unborn
Al,Armenia,babies
Al,Armenia,livers
Al,Armenia,pregnant
Al,Armenia,women
Three-legged bird,Asia,solar
Three-legged bird,Africa,bird
Wati-kutjara,Australia,goannspirits
Wondjina,Australia,weather
Wondjina,Australia,spirit
Easter Bilby,Australia,anthropomorphic
Easter Bilby,Australia,bilby
Drop Bear,Australia,large
